playerID,name,active_status,active_note
ohtansh01,Shohei Ohtani,Active Hall Player,A historic two-way peak and multiple MVPs already make him a Hall Ledger Hall of Famer.
sotoju01,Juan Soto,Active Hall Player,An elite age-curve and on-base profile already put him on a Hall Ledger Hall of Fame level.
troutmi01,Mike Trout,Active Hall Player,An MVP peak and all-around value already built a Hall Ledger Hall-level resume.
freemfr01,Freddie Freeman,Active Hall Player,Long-term star production and consistency already place him in Hall Ledger.
bettsmo01,Mookie Betts,Active Hall Player,MVP-level peak plus all-around value already make him one of the clearest active Hall players.
judgeaa01,Aaron Judge,Active Hall Player,Historic power seasons and MVP-level peak already make him a major Hall Ledger player.
lindofr01,Francisco Lindor,Active Hall Player,Elite two-way shortstop value already gives him a Hall Ledger Hall-level resume.
altuvjo01,Jose Altuve,Active Hall Player,An MVP second-base resume with star-level October visibility already puts him in Hall Ledger.
ramirjo01,Jose Ramirez,Active Hall Player,Sustained elite production at third base already gives him a Hall Ledger Hall player profile.
machama01,Manny Machado,Active Hall Player,Long-run star value and a premium-position resume already put him in Hall Ledger.
harpebr03,Bryce Harper,Active Hall Player,Two MVPs and a star-level peak already make him a Hall Ledger Hall of Famer.
arenano01,Nolan Arenado,Active Hall Player,A historic Gold Glove stack at third base already anchors a Hall Ledger Hall player profile.
stantmi03,Giancarlo Stanton,Active Hall Player,His MVP peak and power resume already put him in the Hall Ledger Hall conversation.
seageco01,Corey Seager,Active Hall Player,His October resume, star shortstop peak, and championship-level production already make him an active Hall Ledger player.
goldspa01,Paul Goldschmidt,Active Hall Player,His MVP season and long-run first-base production already make him a Hall Ledger Hall player.
salech01,Chris Sale,Active Hall Player,His Cy Young peak and strikeout-heavy left-handed resume already make him a Hall Ledger Hall player.
degroja01,Jacob deGrom,Active Hall Player,His Cy Young peak and dominant run prevention already make him a Hall Ledger Hall player.
colege01,Gerrit Cole,Active Hall Player,His Cy Young resume and long-run ace value already put him in Hall Ledger.
chapmar01,Aroldis Chapman,Active Hall Player,A historic relief peak and long-run closer value already make him a Hall Ledger Hall player.
janseke01,Kenley Jansen,Active Hall Player,An elite closer resume with sustained save totals already makes him a Hall Ledger Hall player.
mccutan01,Andrew McCutchen,Active Hall Player,An MVP center-field peak and long-run all-around value already make him a Hall Ledger Hall player.
kimbrcr01,Craig Kimbrel,Active Hall Player,A historic closer peak and long-run ninth-inning value already make him an active Hall Ledger player.
