playerID,name,passed_over_status,passed_over_note,passed_over_class_year,include_in_directory
dahlebi01,Bill Dahlen,Passed-Over Player,"Strong historical shortstop case added manually outside the automatic induction lanes.",2026,TRUE
whitalo01,Lou Whitaker,Passed-Over Player,"Long-run second-base value and overlooked Hall case added manually outside the automatic induction lanes.",2026,TRUE
grichbo01,Bobby Grich,Passed-Over Player,"Strong all-around second-base value added manually outside the automatic induction lanes.",2026,TRUE
ramirma02,Manny Ramirez,Passed-Over Player,"Elite offensive peak and long-run production added manually outside the automatic induction lanes.",2026,TRUE
canoro01,Robinson Cano,Passed-Over Player,"Long-run second-base production added manually outside the automatic induction lanes.",2026,TRUE
loftoke01,Kenny Lofton,Passed-Over Player,"Center-field value and top-end baserunning case added manually outside the automatic induction lanes.",2026,TRUE
nettlgr01,Graig Nettles,Passed-Over Player,"Third-base value and overlooked career added manually outside the automatic induction lanes.",2026,TRUE
evansdw01,Dwight Evans,Passed-Over Player,"Two-way right-field value added manually outside the automatic induction lanes.",2026,TRUE
utleych01,Chase Utley,Passed-Over Player,"Peak second-base value added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
vottojo01,Joey Votto,Passed-Over Player,"Recently retired first baseman with an MVP-caliber peak added manually outside the automatic induction lanes.",2026,TRUE
jacksjo01,Joe Jackson,Passed-Over Player,"Historic batting case added manually outside the automatic induction lanes.",2026,TRUE
hernake01,Keith Hernandez,Passed-Over Player,"Elite first-base defense and strong all-around value added manually outside the automatic induction lanes.",2026,TRUE
olerujo01,John Olerud,Passed-Over Player,"High-OBP first-base value added manually outside the automatic induction lanes.",2026,TRUE
bondsbo01,Bobby Bonds,Passed-Over Player,"Power-speed outfield peak added manually outside the automatic induction lanes.",2026,TRUE
lemonch01,Chet Lemon,Passed-Over Player,"Joke page kept on the site for search only and intentionally hidden from the directories.",2026,FALSE
wrightda03,David Wright,Passed-Over Player,"Franchise third-base peak added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
pedrodu01,Dustin Pedroia,Passed-Over Player,"Second-base peak and MVP resume added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
abreubo01,Bobby Abreu,Passed-Over Player,"On-base and all-around outfield value added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
murphda05,Dale Murphy,Passed-Over Player,"Two MVPs and a strong center-field peak added manually outside the automatic induction lanes.",2026,TRUE
poseybu01,Buster Posey,Passed-Over Player,"Recently retired catcher with an MVP-caliber peak added manually outside the automatic induction lanes.",2026,TRUE
delgaca01,Carlos Delgado,Passed-Over Player,"Middle-of-the-order first-base power added manually outside the automatic induction lanes.",2026,TRUE
zobribe01,Ben Zobrist,Passed-Over Player,"Multi-position value and championship-era peak added manually outside the automatic induction lanes.",2026,TRUE
greinza01,Zack Greinke,Passed-Over Player,"Recently retired pitcher added manually outside the automatic induction lanes.",2026,TRUE
mccorji01,Jim McCormick,Passed-Over Player,"Nineteenth-century pitching case added manually outside the automatic induction lanes.",2026,TRUE
brownke01,Kevin Brown,Passed-Over Player,"Power-pitching ace case added manually outside the automatic induction lanes.",2026,TRUE
tiantlu01,Luis Tiant,Passed-Over Player,"Long-run pitching value and peak case added manually outside the automatic induction lanes.",2026,TRUE
buehrma01,Mark Buehrle,Passed-Over Player,"Durable left-hander case added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
saberbr01,Bret Saberhagen,Passed-Over Player,"Two-time Cy Young pitching case added manually outside the automatic induction lanes.",2026,TRUE
hamelco01,Cole Hamels,Passed-Over Player,"Postseason-tested left-hander case added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
cicoted01,Eddie Cicotte,Passed-Over Player,"Early ace pitching case added manually outside the automatic induction lanes.",2026,TRUE
stiebda01,Dave Stieb,Passed-Over Player,"Ace-level run prevention case added manually outside the automatic induction lanes.",2026,TRUE
hernafe02,Felix Hernandez,Passed-Over Player,"Cy Young ace peak added manually outside the automatic induction lanes.",2026,TRUE
spaldal01,Al Spalding,Passed-Over Player,"Foundational nineteenth-century pitching case added manually outside the automatic induction lanes.",2026,TRUE
santajo02,Johan Santana,Passed-Over Player,"Two-time Cy Young peak added manually outside the automatic induction lanes.",2026,TRUE
moyerja01,Jamie Moyer,Passed-Over Player,"Long-run durability case added manually outside the automatic induction lanes.",2026,TRUE
oswalro01,Roy Oswalt,Passed-Over Player,"Peak ace value added manually outside the automatic induction lanes.",2026,TRUE
nathajo01,Joe Nathan,Passed-Over Player,"Elite closer resume added manually outside the automatic induction lanes.",2026,TRUE
francjo01,John Franco,Passed-Over Player,"Long-run left-handed closer case added manually outside the automatic induction lanes.",2026,TRUE
rodrifr03,Francisco Rodriguez,Passed-Over Player,"Historic closer peak added manually outside the automatic induction lanes.",2026,TRUE
hillejo01,John Hiller,Passed-Over Player,"Relief ace case added manually outside the automatic induction lanes.",2026,TRUE
britzza01,Zack Britton,Passed-Over Player,"Recently retired reliever added manually outside the automatic induction lanes.",2026,TRUE
goodedw01,Dwight Gooden,Passed-Over Player,"Cy Young peak and ace-level prime added manually outside the automatic induction lanes.",2026,TRUE
